timestamp,temperature,humidity,PM2.5,PM10,NO2,SO2,CO,AQI
2026-01-01 00:00:00,20.1,79.0,34.4,48.0,12.6,7.9,0.56,96
2026-01-01 01:00:00,17.3,81.0,34.6,59.5,10.0,7.9,0.41,95
2026-01-01 02:00:00,19.5,79.0,20.9,35.7,12.8,7.0,0.56,69
2026-01-01 03:00:00,16.1,80.0,12.6,24.8,13.6,6.4,0.5,48
2026-01-01 04:00:00,15.3,88.0,57.4,131.0,13.8,6.6,0.35,153
2026-01-01 05:00:00,17.3,77.0,34.7,63.5,10.6,8.2,0.56,99
2026-01-01 06:00:00,18.1,81.0,55.0,79.7,14.2,8.8,0.41,150
2026-01-01 07:00:00,21.5,72.0,35.8,99.9,11.9,9.2,0.27,103
2026-01-01 08:00:00,23.1,73.0,30.4,51.7,25.0,4.4,1.06,89
2026-01-01 09:00:00,24.4,75.0,157.1,254.6,25.2,6.2,0.94,499
2026-01-01 10:00:00,26.5,62.0,151.5,199.9,25.7,5.7,0.99,202
2026-01-01 11:00:00,26.0,66.0,79.9,170.9,10.8,5.2,0.59,168
2026-01-01 12:00:00,30.4,65.0,16.7,34.3,14.6,4.4,0.65,59
2026-01-01 13:00:00,,66.0,51.0,90.9,12.6,4.6,0.59,137
2026-01-01 14:00:00,30.5,64.0,48.8,96.8,12.8,4.8,0.51,133
2026-01-01 15:00:00,33.9,64.0,48.7,79.7,15.1,6.0,0.49,131
2026-01-01 16:00:00,33.6,61.0,77.7,104.8,17.0,5.4,0.65,162
2026-01-01 17:00:00,30.2,69.0,36.4,89.8,31.3,4.4,1.24,103
2026-01-01 18:00:00,32.0,71.0,31.4,63.6,27.5,6.1,1.14,94
2026-01-01 19:00:00,29.9,78.0,33.5,61.1,26.9,5.7,1.14,97
2026-01-01 20:00:00,27.8,67.0,183.7,325.2,30.6,4.3,1.12,235
2026-01-01 21:00:00,25.2,75.0,13.9,58.4,9.1,4.1,0.39,56
2026-01-01 22:00:00,24.6,78.0,11.2,68.3,7.8,5.2,0.43,60
2026-01-01 23:00:00,21.1,85.0,38.2,109.7,10.5,7.4,0.44,108
2026-01-02 00:00:00,22.9,66.0,12.2,23.5,12.2,6.7,0.45,54
2026-01-02 01:00:00,18.4,85.0,11.1,20.0,16.3,8.2,0.32,46
2026-01-02 02:00:00,16.4,89.0,11.7,21.1,15.3,7.9,0.35,50
2026-01-02 03:00:00,19.0,83.0,40.2,65.8,14.5,6.9,0.52,114
2026-01-02 04:00:00,16.0,85.0,11.1,27.9,11.8,9.1,0.59,45
